olgnname,count,mean.control.log.signal,control.sd.log.signal
UniRef90_P27019_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P27019_oligopeptide_13,0,-4.697749166,0.210647835
UniRef90_P27019_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27019_oligopeptide_3,0,-4.602324865,0.230545447
UniRef90_P27019_oligopeptide_4,3,-4.727852165,0.202964529
UniRef90_P27019_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P27019_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P27019_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P27019_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P27019_oligopeptide_9,1,-4.697749165,0.194775683
UniRef90_P27024_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P27024_oligopeptide_10,1,-4.650037066,0.255496235
UniRef90_P27024_oligopeptide_2,0,-4.650037065,0.31341452
UniRef90_P27024_oligopeptide_3,1,-4.697749165,0.200843339
UniRef90_P27024_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P27024_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P27024_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P27024_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P27025_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P27025_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P27025_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P27025_oligopeptide_6,1,-4.680140065,0.201887797
UniRef90_P27025_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P27025_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P27025_oligopeptide_9,2,-4.697749166,0.198844698
UniRef90_P27153_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P27153_oligopeptide_10,0,-4.727852165,0.202964529
UniRef90_P27153_oligopeptide_11,2,-4.650036965,0.217169935
UniRef90_P27153_oligopeptide_12,0,-4.697749166,0.198844698
UniRef90_P27153_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P27153_oligopeptide_14,0,-4.727852165,0.202964529
UniRef90_P27153_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P27153_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P27153_oligopeptide_18,1,-4.667646165,0.240011054
UniRef90_P27153_oligopeptide_19,1,-4.727852165,0.202964529
UniRef90_P27153_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27153_oligopeptide_20,0,-4.727852165,0.202964529
UniRef90_P27153_oligopeptide_21,0,-4.727852165,0.202964529
UniRef90_P27153_oligopeptide_22,0,-4.727852165,0.202964529
UniRef90_P27153_oligopeptide_23,0,-4.727852165,0.202964529
UniRef90_P27153_oligopeptide_25,0,-4.727852165,0.202964529
UniRef90_P27153_oligopeptide_4,0,-4.65003704,0.274731657
UniRef90_P27153_oligopeptide_5,1,-4.54211884,0.282941062
UniRef90_P27153_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P27153_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P27153_oligopeptide_8,0,-4.697749165,0.200843339
UniRef90_P27153_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P27220_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P27220_oligopeptide_10,0,-4.697749165,0.2091122
UniRef90_P27220_oligopeptide_11,1,-4.667646166,0.185117325
UniRef90_P27220_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P27220_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P27220_oligopeptide_16,1,-4.589830966,0.234093663
UniRef90_P27220_oligopeptide_18,1,-4.727852165,0.202964529
UniRef90_P27220_oligopeptide_19,0,-4.727852165,0.202964529
UniRef90_P27220_oligopeptide_2,0,-4.602324865,0.206323056
UniRef90_P27220_oligopeptide_21,0,-4.727852165,0.202964529
UniRef90_P27220_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P27220_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P27220_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P27220_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P27220_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P27220_oligopeptide_8,0,-4.697749165,0.2091122
UniRef90_P27220_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P27221_oligopeptide_1,0,-4.697749165,0.188729169
UniRef90_P27221_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P27221_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P27221_oligopeptide_14,1,-4.727852165,0.202964529
UniRef90_P27221_oligopeptide_15,10,-4.727852165,0.202964529
UniRef90_P27221_oligopeptide_16,5,-4.58983104,0.175866027
UniRef90_P27221_oligopeptide_17,2,-4.60232494,0.251190589
UniRef90_P27221_oligopeptide_18,0,-4.727852165,0.202964529
UniRef90_P27221_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27221_oligopeptide_20,2,-4.537543166,0.248352271
UniRef90_P27221_oligopeptide_21,1,-4.697749165,0.188729169
UniRef90_P27221_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P27221_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P27221_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P27221_oligopeptide_8,1,-4.727852165,0.202964529
UniRef90_P27221_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P27222_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P27222_oligopeptide_10,0,-4.727852165,0.202964529
UniRef90_P27222_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27222_oligopeptide_3,0,-4.632427865,0.215451509
UniRef90_P27222_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P27222_oligopeptide_5,2,-4.727852165,0.202964529
UniRef90_P27222_oligopeptide_6,0,-4.697749165,0.2091122
UniRef90_P27222_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P27223_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P27223_oligopeptide_10,0,-4.680140065,0.210793735
UniRef90_P27223_oligopeptide_11,0,-4.727852165,0.202964529
UniRef90_P27223_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P27223_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P27223_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27223_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P27223_oligopeptide_4,3,-4.727852165,0.202964529
UniRef90_P27223_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P27223_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P27223_oligopeptide_7,2,-4.727852165,0.202964529
UniRef90_P27223_oligopeptide_8,1,-4.727852165,0.202964529
UniRef90_P27223_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P27224_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P27224_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27224_oligopeptide_3,1,-4.727852165,0.202964529
UniRef90_P27225_oligopeptide_2,0,-4.667646166,0.19774155
UniRef90_P27225_oligopeptide_3,6,-4.607440166,0.285474162
UniRef90_P27225_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P27226_oligopeptide_1,3,-4.727852165,0.202964529
UniRef90_P27226_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27227_oligopeptide_1,0,-4.68014004,0.233737368
UniRef90_P27227_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27227_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P27228_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P27228_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27228_oligopeptide_3,1,-4.727852165,0.202964529
UniRef90_P27228_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P27228_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P27229_oligopeptide_1,1,-4.727852165,0.202964529
UniRef90_P27229_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27229_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P27229_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P27229_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P27230_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P27230_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27230_oligopeptide_3,6,-4.54211894,0.139765188
UniRef90_P27231_oligopeptide_1,6,-4.667646166,0.203720889
UniRef90_P27231_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27231_oligopeptide_3,0,-4.697749165,0.194775683
UniRef90_P27232_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P27232_oligopeptide_10,2,-4.727852165,0.202964529
UniRef90_P27232_oligopeptide_11,0,-4.727852165,0.202964529
UniRef90_P27232_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P27232_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P27232_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P27232_oligopeptide_16,1,-4.697749166,0.198844698
UniRef90_P27232_oligopeptide_17,0,-4.727852165,0.202964529
UniRef90_P27232_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27232_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P27232_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P27232_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P27232_oligopeptide_6,3,-4.48191294,0.205779395
UniRef90_P27232_oligopeptide_7,0,-4.697749165,0.200843339
UniRef90_P27232_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P27232_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P27233_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P27233_oligopeptide_10,1,-4.727852165,0.202964529
UniRef90_P27233_oligopeptide_11,0,-4.727852165,0.202964529
UniRef90_P27233_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P27233_oligopeptide_13,2,-4.697749165,0.194775683
UniRef90_P27233_oligopeptide_14,0,-4.667646165,0.22959625
UniRef90_P27233_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P27233_oligopeptide_16,0,-4.680140065,0.201887797
UniRef90_P27233_oligopeptide_17,0,-4.727852165,0.202964529
UniRef90_P27233_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27233_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P27233_oligopeptide_4,1,-4.727852165,0.202964529
UniRef90_P27233_oligopeptide_5,1,-4.667646166,0.178744388
UniRef90_P27233_oligopeptide_6,0,-4.697749165,0.200843339
UniRef90_P27233_oligopeptide_7,1,-4.727852165,0.202964529
UniRef90_P27233_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P27233_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P27234_oligopeptide_1,0,-4.650037065,0.209226154
UniRef90_P27234_oligopeptide_10,2,-4.697749166,0.198844698
UniRef90_P27234_oligopeptide_11,2,-4.727852165,0.202964529
UniRef90_P27234_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P27234_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P27234_oligopeptide_14,0,-4.680140065,0.210793735
UniRef90_P27234_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P27234_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27234_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P27234_oligopeptide_4,2,-4.727852165,0.202964529
UniRef90_P27234_oligopeptide_5,0,-4.607440166,0.212266151
UniRef90_P27234_oligopeptide_6,1,-4.727852165,0.202964529
UniRef90_P27234_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P27234_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P27234_oligopeptide_9,0,-4.680140065,0.210793735
UniRef90_P27235_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P27235_oligopeptide_10,1,-4.727852165,0.202964529
UniRef90_P27235_oligopeptide_11,0,-4.727852165,0.202964529
UniRef90_P27235_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P27235_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P27235_oligopeptide_14,2,-4.697749166,0.210647835
UniRef90_P27235_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P27235_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P27235_oligopeptide_17,0,-4.697749165,0.240801222
UniRef90_P27235_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27235_oligopeptide_3,0,-4.697749165,0.194775683
UniRef90_P27235_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P27235_oligopeptide_5,1,-4.727852165,0.202964529
UniRef90_P27235_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P27235_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P27235_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P27311_oligopeptide_1,1,-4.667646166,0.178744388
UniRef90_P27311_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27311_oligopeptide_3,0,-4.697749165,0.188729169
UniRef90_P27312_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_10,1,-4.650037065,0.304036701
UniRef90_P27312_oligopeptide_11,0,-4.697749166,0.210647835
UniRef90_P27312_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_14,1,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_18,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_19,6,-4.667646166,0.201750756
UniRef90_P27312_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_20,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_21,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_22,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_23,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_24,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_25,2,-4.637543166,0.225049705
UniRef90_P27312_oligopeptide_26,2,-4.637543165,0.255985665
UniRef90_P27312_oligopeptide_27,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_28,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_29,0,-4.697749166,0.210647835
UniRef90_P27312_oligopeptide_3,3,-4.517131166,0.259002736
UniRef90_P27312_oligopeptide_31,1,-4.697749166,0.198844698
UniRef90_P27312_oligopeptide_32,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_33,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_35,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_36,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_38,1,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_39,0,-4.697749165,0.194775683
UniRef90_P27312_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_40,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_5,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_6,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P27312_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_1,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_10,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_11,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_15,1,-4.650037065,0.209226154
UniRef90_P27314_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_17,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_18,2,-4.697749165,0.200843339
UniRef90_P27314_oligopeptide_19,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_20,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_21,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_22,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_23,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_24,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_25,3,-4.572221866,0.220776761
UniRef90_P27314_oligopeptide_26,0,-4.667646165,0.295077149
UniRef90_P27314_oligopeptide_27,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_28,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_29,1,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_3,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_31,4,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_33,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_34,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_36,1,-4.607440166,0.221921094
UniRef90_P27314_oligopeptide_37,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_38,0,-4.580140065,0.244575826
UniRef90_P27314_oligopeptide_39,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_4,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_40,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_41,1,-4.697749165,0.2091122
UniRef90_P27314_oligopeptide_42,1,-4.697749165,0.2091122
UniRef90_P27314_oligopeptide_43,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_44,0,-4.697749166,0.210647835
UniRef90_P27314_oligopeptide_45,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_46,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_47,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_48,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_49,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_5,2,-4.667646166,0.256984688
UniRef90_P27314_oligopeptide_50,4,-4.68014004,0.233737368
UniRef90_P27314_oligopeptide_51,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_52,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_53,1,-4.697749166,0.210647835
UniRef90_P27314_oligopeptide_54,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_55,0,-4.697749165,0.200843339
UniRef90_P27314_oligopeptide_56,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_57,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_58,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_59,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_6,3,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_60,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_61,0,-4.637543166,0.246397867
UniRef90_P27314_oligopeptide_62,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_63,1,-4.589830966,0.283896334
UniRef90_P27314_oligopeptide_65,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_67,1,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_68,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_69,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_7,0,-4.650037065,0.200250512
UniRef90_P27314_oligopeptide_70,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_71,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_72,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_73,0,-4.727852165,0.202964529
UniRef90_P27314_oligopeptide_74,0,-4.607440166,0.273405353
UniRef90_P27314_oligopeptide_75,0,-4.68014004,0.216731547
UniRef90_P27314_oligopeptide_76,1,-4.650036965,0.204425935
UniRef90_P27314_oligopeptide_8,0,-4.650037065,0.191599588
UniRef90_P27314_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_1,0,-4.697749166,0.210647835
UniRef90_P27316_oligopeptide_10,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_11,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_14,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_15,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_18,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_19,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_21,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_22,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_23,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_24,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_25,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_26,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_27,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_28,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_29,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_3,2,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_30,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_31,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_32,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_33,1,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_34,1,-4.697749165,0.200843339
UniRef90_P27316_oligopeptide_35,0,-4.697749165,0.200843339
UniRef90_P27316_oligopeptide_36,0,-4.697749165,0.194775683
UniRef90_P27316_oligopeptide_37,0,-4.619933966,0.20075334
UniRef90_P27316_oligopeptide_38,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_39,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_40,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_41,2,-4.667646166,0.178744388
UniRef90_P27316_oligopeptide_42,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_43,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_44,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_45,1,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_46,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_47,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_48,1,-4.697749166,0.198844698
UniRef90_P27316_oligopeptide_49,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_5,1,-4.697749165,0.200843339
UniRef90_P27316_oligopeptide_50,1,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_51,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_52,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_53,0,-4.697749165,0.188729169
UniRef90_P27316_oligopeptide_54,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_55,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_56,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_57,5,-4.321706941,0.205530649
UniRef90_P27316_oligopeptide_59,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_6,2,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_60,1,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_61,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_62,1,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_63,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_64,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_65,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_66,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_67,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_68,0,-4.667646166,0.240085396
UniRef90_P27316_oligopeptide_69,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_7,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_70,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_71,2,-4.667646165,0.18096516
UniRef90_P27316_oligopeptide_72,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_73,3,-4.424509814,0.189786241
UniRef90_P27316_oligopeptide_74,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_75,0,-4.727852165,0.202964529
UniRef90_P27316_oligopeptide_8,1,-4.607440166,0.262943042
UniRef90_P27316_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P27317_oligopeptide_1,0,-4.697749165,0.240801222
UniRef90_P27317_oligopeptide_11,1,-4.537543166,0.261426864
UniRef90_P27317_oligopeptide_12,0,-4.727852165,0.202964529
UniRef90_P27317_oligopeptide_13,0,-4.727852165,0.202964529
UniRef90_P27317_oligopeptide_14,3,-4.727852165,0.202964529
UniRef90_P27317_oligopeptide_15,1,-4.727852165,0.202964529
UniRef90_P27317_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P27317_oligopeptide_17,0,-4.727852165,0.202964529
UniRef90_P27317_oligopeptide_2,0,-4.727852165,0.202964529
UniRef90_P27317_oligopeptide_3,1,-4.727852165,0.202964529
UniRef90_P27317_oligopeptide_4,1,-4.727852165,0.202964529
UniRef90_P27317_oligopeptide_5,0,-4.577337166,0.221179618
UniRef90_P27317_oligopeptide_7,2,-4.697749165,0.188729169
UniRef90_P27317_oligopeptide_8,0,-4.727852165,0.202964529
UniRef90_P27317_oligopeptide_9,0,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_10,1,-4.697749165,0.194775683
UniRef90_P27395_oligopeptide_100,0,-4.637543166,0.164515925
UniRef90_P27395_oligopeptide_101,0,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_102,1,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_103,9,-4.559728041,0.267982629
UniRef90_P27395_oligopeptide_104,0,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_105,0,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_106,0,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_107,0,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_108,0,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_109,0,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_110,4,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_111,0,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_112,1,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_113,2,-4.607440166,0.166108383
UniRef90_P27395_oligopeptide_114,0,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_115,2,-4.697749165,0.194775683
UniRef90_P27395_oligopeptide_116,0,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_117,2,-4.667646165,0.202132636
UniRef90_P27395_oligopeptide_118,1,-4.697749165,0.194775683
UniRef90_P27395_oligopeptide_120,0,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_121,0,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_16,0,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_17,1,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_19,0,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_20,0,-4.727852165,0.202964529
UniRef90_P27395_oligopeptide_21,0,-4.727852165,0.202964529
